signal_type,signal_strength,signal_quality,sentiment_score,volatility_score,reliability_score,impact_likely,volume_confirmation,price_confirmation,source_diversity,momentum_filter,volume_filter,signal_score,price_volatility
SELL,0.5689729813724149,0.7999999999999999,0.36690456239198194,0.03082976130124843,0.88,0.2,1.2488121557675897,1.0,1.0,True,True,0.94,0.5
BUY,0.6198233399572932,0.7999999999999999,-0.5014623413856117,0.020117387308018632,0.89,0.2,1.1093980296330774,1.0,1.0,True,True,0.94,0.5
BUY,0.8283482660698418,0.7999999999999999,-1.0,0.02637565280503843,0.9,0.2,0.6906708168489644,1.0,1.0,True,True,0.94,0.5
SELL,0.8082270692253634,0.7999999999999999,1.0,0.0275886404328316,0.84,0.2,0.5456810953378326,1.0,1.0,True,True,0.94,0.5
SELL,0.5260021559159948,0.7999999999999999,0.2886131442906524,0.019109647027183735,0.85,0.2,1.0307578931037158,1.0,1.0,True,True,0.94,0.5
SELL,0.514345879146363,0.7999999999999999,0.2358093274062385,0.041089473193354674,0.89,0.35,0.5840072531223334,1.0,1.0,True,True,0.9699999999999999,0.5
BUY,0.5098700978708922,0.7999999999999999,-0.24499054889133406,0.03987127412127639,0.87,0.2,0.7913466759754868,1.0,1.0,True,True,0.94,0.5
SELL,0.47063777656339695,0.4,0.14997292679421478,0.014576070607714748,0.86,0.35,1.1481605383600961,1.0,1.0,True,True,0.9699999999999999,0.5
BUY,0.7044838545779019,0.7999999999999999,-0.7010909669328889,0.021292603226593505,0.89,0.2,1.3734388332945466,1.0,1.0,True,True,0.94,0.5
SELL,0.4748885924820077,0.4,0.14940372694393317,0.021123186389288288,0.86,0.2,1.3535121402528896,1.0,1.0,True,True,0.94,0.5
BUY,0.4484940221170741,0.4,-0.05658936724218773,0.04398531236173076,0.89,0.2,0.7172639826235357,1.0,1.0,True,True,0.7663574689687509,0.5
SELL,0.7716398596944656,0.7999999999999999,0.8763295541810241,0.04794264223934919,0.88,0.2,1.08610173764642,1.0,1.0,True,True,0.94,0.5
BUY,0.49392490409828305,0.4,-0.16282174484510045,0.015903482322817103,0.9,0.2,0.776025909549298,1.0,1.0,True,True,0.94,0.5
SELL,0.814925149987566,0.7999999999999999,1.0,0.019627799829545697,0.88,0.2,1.314822356682957,1.0,1.0,True,True,0.94,0.5
SELL,0.5326441029180955,0.7999999999999999,0.3979028736420373,0.04678169630905811,0.75,0.5,1.1625601194631914,1.0,1.0,True,True,0.9999999999999999,0.5
SELL,0.801363070355478,0.7999999999999999,1.0,0.04573521983565267,0.83,0.2,1.2486909471724459,1.0,1.0,True,True,0.94,0.5
SELL,0.4689614489049647,0.4,0.11704739065626207,0.016062938898112798,0.9,0.2,0.8411876502986579,1.0,1.0,True,True,0.94,0.5
BUY,0.6114810193758864,0.7999999999999999,-0.47444443947297227,0.01943295494679039,0.89,0.35,0.5929524474439531,1.0,1.0,True,True,0.9699999999999999,0.5
BUY,0.5342018778190213,0.7999999999999999,-0.27314197331124235,0.019317341451110862,0.9,0.2,1.7110774959273911,1.0,1.0,True,True,0.94,0.5
BUY,0.4461673307566565,0.4,-0.05396350620445706,0.020166137817038608,0.9,0.35,1.025012605693895,1.0,1.0,True,True,0.7858540248178282,0.5
BUY,0.8020501572758527,0.7999999999999999,-1.0,0.02049505598985164,0.83,0.2,1.7031989372430378,1.0,1.0,True,True,0.94,0.5
BUY,0.8084710056248832,0.7999999999999999,-1.0,0.01997892572616169,0.85,0.2,0.7067673182840741,1.0,1.0,True,True,0.94,0.5
BUY,0.8248095007086476,0.7999999999999999,-1.0,0.019811974027369877,0.9,0.2,1.578451051120937,1.0,1.0,True,True,0.94,0.5
SELL,0.829522090552222,0.7999999999999999,1.0,0.02025001868869605,0.9,0.2,2.0,1.0,1.0,True,True,0.94,0.5
SELL,0.49199062935065047,0.7999999999999999,0.3027220653555937,0.02179106384324325,0.72,0.35,2.0,0.7,1.0,True,True,0.9699999999999999,0.5
BUY,0.7925011550542119,0.7999999999999999,-1.0,0.02226915835888073,0.8,0.2,1.1112161585602358,1.0,1.0,True,True,0.94,0.5
SELL,0.6210072579066158,0.7999999999999999,0.5065389382778424,0.022119398793273154,0.88,0.2,1.343330618260802,1.0,1.0,True,True,0.94,0.5
SELL,0.8216129876748223,0.7999999999999999,1.0,0.02225299075479442,0.89,0.2,0.9867349313474517,1.0,1.0,True,True,0.94,0.5
SELL,0.6332511161684706,0.7999999999999999,0.5694609708395539,0.022127204166953695,0.84,0.2,0.8199034209913894,1.0,1.0,True,True,0.94,0.5
BUY,0.5215037286453625,0.7999999999999999,-0.2905816657851156,0.021986620446533944,0.84,0.2,0.9994860755565899,1.0,1.0,True,True,0.94,0.5
SELL,0.43709720471111824,0.4,0.07164066839432036,0.02167703823824785,0.85,0.2,2.0,1.0,1.0,True,True,0.8265626735772815,0.5
SELL,0.7774288651587788,0.7999999999999999,0.8812553896281483,0.022026537942906193,0.9,0.5,0.7064279342176712,1.0,1.0,True,True,0.9999999999999999,0.5
BUY,0.6919624264818303,0.7999999999999999,-0.7733440817683565,0.02173720768148189,0.77,0.2,0.7544022961756264,1.0,1.0,True,True,0.94,0.5
SELL,0.8216817997747115,0.7999999999999999,1.0,0.021543278567964536,0.89,0.2,0.8356362966410674,1.0,1.0,True,True,0.94,0.5
SELL,0.5169977948827451,0.7999999999999999,0.25476630239830017,0.021396634498312164,0.87,0.35,1.3400822279109457,1.0,1.0,True,True,0.9699999999999999,0.5
BUY,0.6289724326727295,0.7999999999999999,-0.5108020748348572,0.021113955078964793,0.9,0.2,0.8509085796291986,1.0,1.0,True,True,0.94,0.5
SELL,0.7856705426574702,0.7999999999999999,1.0,0.02127358236191165,0.78,0.2,1.211237491272981,1.0,1.0,True,True,0.94,0.5
BUY,0.7987477212788892,0.7999999999999999,-1.0,0.021109467585766747,0.82,0.2,1.492271739973625,1.0,1.0,True,True,0.94,0.5
