title,summary,link,source,published_date,reliability,url,sentiment_score,impact_likely,novelty_score,full_text,sentiment_confidence
Russia-Ukraine conflict - What investors need to know,The ongoing russia-ukraine conflict continues to influence oil prices and market sentiment. Market participants are adjusting their positions accordingly.,https://reuters.com/article/725,Reuters,2023-12-29,0.9,https://reuters.com,0.1981821201005678,0.2,0.2556499576621422,The ongoing russia-ukraine conflict continues to influence oil prices and market sentiment. Market participants are adjusting their positions accordingly. Additional details about russia-ukraine conflict and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
Breaking: Strategic petroleum reserve update,Experts weigh in on the impact of strategic petroleum reserve on global energy security and market stability.,https://reuters.com/article/723,Reuters,2023-12-28,0.9,https://reuters.com,-0.4381403723016053,0.35,0.3205300089459044,Experts weigh in on the impact of strategic petroleum reserve on global energy security and market stability. Additional details about strategic petroleum reserve and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
Expert analysis: Bahrain oil fields impact,Recent developments in bahrain oil fields have significant implications for global energy markets. Analysts are closely monitoring the situation.,https://wsj.com/article/720,Wall Street Journal,2023-12-27,0.87,https://wsj.com,0.19437969575879976,0.35,0.3137310808991355,Recent developments in bahrain oil fields have significant implications for global energy markets. Analysts are closely monitoring the situation. Additional details about bahrain oil fields and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
Strategic petroleum reserve affects global oil markets,Market volatility increases as strategic petroleum reserve developments unfold. Traders are positioning for potential price movements.,https://bbc.com/article/717,BBC,2023-12-25,0.82,https://bbc.com,1.0,0.2,0.2601275075975467,Market volatility increases as strategic petroleum reserve developments unfold. Traders are positioning for potential price movements. Additional details about strategic petroleum reserve and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
New developments in china energy demand,Market volatility increases as china energy demand developments unfold. Traders are positioning for potential price movements.,https://reuters.com/article/714,Reuters,2023-12-24,0.9,https://reuters.com,1.0,0.2,0.136926343730556,Market volatility increases as china energy demand developments unfold. Traders are positioning for potential price movements. Additional details about china energy demand and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
Climate agreements - What investors need to know,The ongoing climate agreements continues to influence oil prices and market sentiment. Market participants are adjusting their positions accordingly.,https://bbc.com/article/702,BBC,2023-12-18,0.82,https://bbc.com,-0.10535205521993313,0.2,0.3018815203311516,The ongoing climate agreements continues to influence oil prices and market sentiment. Market participants are adjusting their positions accordingly. Additional details about climate agreements and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
Expert analysis: China energy demand impact,The ongoing china energy demand continues to influence oil prices and market sentiment. Market participants are adjusting their positions accordingly.,https://bbc.com/article/701,BBC,2023-12-17,0.82,https://bbc.com,0.010750516290142833,0.2,0.29007005445514605,The ongoing china energy demand continues to influence oil prices and market sentiment. Market participants are adjusting their positions accordingly. Additional details about china energy demand and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
Iraq oil exports and energy security concerns,Recent developments in iraq oil exports have significant implications for global energy markets. Analysts are closely monitoring the situation.,https://ft.com/article/694,Financial Times,2023-12-14,0.88,https://ft.com,-1.0,0.35,0.21726669964674833,Recent developments in iraq oil exports have significant implications for global energy markets. Analysts are closely monitoring the situation. Additional details about iraq oil exports and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
Expert analysis: Oman energy projects impact,Market volatility increases as oman energy projects developments unfold. Traders are positioning for potential price movements.,https://argusmedia.com/article/691,Argus Media,2023-12-12,0.84,https://argusmedia.com,1.0,0.2,0.6648428017220877,Market volatility increases as oman energy projects developments unfold. Traders are positioning for potential price movements. Additional details about oman energy projects and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
Expert analysis: Climate agreements impact,Market volatility increases as climate agreements developments unfold. Traders are positioning for potential price movements.,https://reuters.com/article/689,Reuters,2023-12-11,0.9,https://reuters.com,1.0,0.2,0.4016038072334723,Market volatility increases as climate agreements developments unfold. Traders are positioning for potential price movements. Additional details about climate agreements and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
Pipeline politics - What investors need to know,Market volatility increases as pipeline politics developments unfold. Traders are positioning for potential price movements.,https://ap.org/article/687,AP,2023-12-10,0.85,https://ap.org,1.0,0.2,0.5226507925683229,Market volatility increases as pipeline politics developments unfold. Traders are positioning for potential price movements. Additional details about pipeline politics and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
Expert analysis: Gulf Cooperation Council impact,Recent developments in gulf cooperation council have significant implications for global energy markets. Analysts are closely monitoring the situation.,https://reuters.com/article/686,Reuters,2023-12-10,0.9,https://reuters.com,0.5685935366921064,0.35,0.07038418639386548,Recent developments in gulf cooperation council have significant implications for global energy markets. Analysts are closely monitoring the situation. Additional details about gulf cooperation council and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
New developments in venezuela sanctions,Experts weigh in on the impact of venezuela sanctions on global energy security and market stability.,https://bbc.com/article/680,BBC,2023-12-07,0.82,https://bbc.com,-0.15014468318222418,0.2,0.2985651975040527,Experts weigh in on the impact of venezuela sanctions on global energy security and market stability. Additional details about venezuela sanctions and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
Iran nuclear deal affects global oil markets,The ongoing iran nuclear deal continues to influence oil prices and market sentiment. Market participants are adjusting their positions accordingly.,https://reuters.com/article/678,Reuters,2023-12-06,0.9,https://reuters.com,0.1965473974693917,0.2,0.1310099135306109,The ongoing iran nuclear deal continues to influence oil prices and market sentiment. Market participants are adjusting their positions accordingly. Additional details about iran nuclear deal and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
Qatar LNG and energy security concerns,The ongoing qatar lng continues to influence oil prices and market sentiment. Market participants are adjusting their positions accordingly.,https://cnbc.com/article/679,CNBC,2023-12-06,0.8,https://cnbc.com,-1.0,0.2,0.31503297588852214,The ongoing qatar lng continues to influence oil prices and market sentiment. Market participants are adjusting their positions accordingly. Additional details about qatar lng and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
