title,summary,link,source,published_date,reliability,url,sentiment_score,impact_likely,novelty_score,full_text,sentiment_confidence
Market reaction to jordan energy imports,Experts weigh in on the impact of jordan energy imports on global energy security and market stability.,https://reuters.com/article/433,Reuters,2024-03-09,0.9,https://reuters.com,-0.10539491763705572,0.2,0.19246854352211318,Experts weigh in on the impact of jordan energy imports on global energy security and market stability. Additional details about jordan energy imports and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
Expert analysis: Russia-Ukraine conflict impact,Market volatility increases as russia-ukraine conflict developments unfold. Traders are positioning for potential price movements.,https://reuters.com/article/432,Reuters,2024-03-08,0.9,https://reuters.com,1.0,0.2,0.6923432159948568,Market volatility increases as russia-ukraine conflict developments unfold. Traders are positioning for potential price movements. Additional details about russia-ukraine conflict and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
Gulf Cooperation Council and energy security concerns,"New information about gulf cooperation council has emerged, prompting market participants to reassess their outlook on energy commodities.",https://ft.com/article/426,Financial Times,2024-03-02,0.88,https://ft.com,-1.0,0.2,0.506092384909506,"New information about gulf cooperation council has emerged, prompting market participants to reassess their outlook on energy commodities. Additional details about gulf cooperation council and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.",0.4
Strategic petroleum reserve - What investors need to know,"New information about strategic petroleum reserve has emerged, prompting market participants to reassess their outlook on energy commodities.",https://bbc.com/article/425,BBC,2024-03-01,0.82,https://bbc.com,0.11631464457873962,0.2,0.3817724933477781,"New information about strategic petroleum reserve has emerged, prompting market participants to reassess their outlook on energy commodities. Additional details about strategic petroleum reserve and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.",0.3
Market reaction to oman energy projects,Market volatility increases as oman energy projects developments unfold. Traders are positioning for potential price movements.,https://spglobal.com/article/420,S&P Global,2024-02-25,0.89,https://spglobal.com,1.0,0.2,0.4944743306053427,Market volatility increases as oman energy projects developments unfold. Traders are positioning for potential price movements. Additional details about oman energy projects and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
Pipeline politics and energy security concerns,Experts weigh in on the impact of pipeline politics on global energy security and market stability.,https://ft.com/article/418,Financial Times,2024-02-23,0.88,https://ft.com,-1.0,0.2,0.17201096006986746,Experts weigh in on the impact of pipeline politics on global energy security and market stability. Additional details about pipeline politics and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
Syria oil fields and energy security concerns,Recent developments in syria oil fields have significant implications for global energy markets. Analysts are closely monitoring the situation.,https://bbc.com/article/415,BBC,2024-02-20,0.82,https://bbc.com,-1.0,0.35,0.6513228861682624,Recent developments in syria oil fields have significant implications for global energy markets. Analysts are closely monitoring the situation. Additional details about syria oil fields and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
Kuwait oil reserves: Market implications analyzed,Market volatility increases as kuwait oil reserves developments unfold. Traders are positioning for potential price movements.,https://wsj.com/article/414,Wall Street Journal,2024-02-19,0.87,https://wsj.com,1.0,0.2,0.4954822170661656,Market volatility increases as kuwait oil reserves developments unfold. Traders are positioning for potential price movements. Additional details about kuwait oil reserves and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.4
New developments in qatar lng,"New information about qatar lng has emerged, prompting market participants to reassess their outlook on energy commodities.",https://cnn.com/article/406,CNN,2024-02-11,0.78,https://cnn.com,-0.059605387830931306,0.2,0.467932256310908,"New information about qatar lng has emerged, prompting market participants to reassess their outlook on energy commodities. Additional details about qatar lng and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.",0.3
Gulf Cooperation Council: Market implications analyzed,Recent developments in gulf cooperation council have significant implications for global energy markets. Analysts are closely monitoring the situation.,https://argusmedia.com/article/400,Argus Media,2024-02-05,0.84,https://argusmedia.com,-0.21532215752287207,0.35,0.8302388712957788,Recent developments in gulf cooperation council have significant implications for global energy markets. Analysts are closely monitoring the situation. Additional details about gulf cooperation council and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
Middle East tensions: Market implications analyzed,Experts weigh in on the impact of middle east tensions on global energy security and market stability.,https://ft.com/article/397,Financial Times,2024-02-02,0.88,https://ft.com,-0.0333544547576616,0.2,0.19505622055901647,Experts weigh in on the impact of middle east tensions on global energy security and market stability. Additional details about middle east tensions and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
Breaking: Venezuela sanctions update,Recent developments in venezuela sanctions have significant implications for global energy markets. Analysts are closely monitoring the situation.,https://spglobal.com/article/394,S&P Global,2024-01-30,0.89,https://spglobal.com,-0.3947666982864899,0.5,0.09414001616444113,Recent developments in venezuela sanctions have significant implications for global energy markets. Analysts are closely monitoring the situation. Additional details about venezuela sanctions and its implications for energy markets. Market analysts are closely monitoring the situation and providing regular updates on developments.,0.3
